repository	commit	branch	license	selected
docker-library/redmine	4e7d7ad67b47d3a0d9d1d22379141a8be0fae2ee	master	GPL-2.0	3
docker-library/rabbitmq	a5c2f04af027df39cad7371eba103892782c24d6	master	MIT	4
docker-library/mongo	2c69a57b939afb99266e8f97258adb178e9559e0	master	Apache-2.0	4
docker-library/mariadb	f8552c80b5104868ff1bb88851ca976bd99029ee	master	GPL-2.0	3
docker-library/gcc	d0fb67beca5c8248b88c7e5271ab34b4fdb279a0	master	GPL-3.0	4
vllm-project/vllm	46f01a50acd6862806ed67b88176c96c2b161142	main	Apache-2.0	5
ray-project/ray	d2bc4da647cda1b43cb115fc70eaa6593c1b4a55	master	Apache-2.0	4
ollama/ollama	fce745fe5e4f0c7741ca46fc5484c9471c997d00	main	MIT	1
huggingface/text-generation-inference	b4adbf2f6e2e721280bd0ea5f91d70f7d033f5ed	main	Apache-2.0	5
langgenius/dify	302b50c4fb84f7e7d4637cac278d0ae019dd5ea6	main	NOASSERTION	4
grafana/mimir	25bf45de4b87b0decc22b64682b039e269d9c002	main	AGPL-3.0	2
grafana/pyroscope	63cf88606b6ad90092b67ebac1c91a0016bdb29b	main	AGPL-3.0	1
dapr/dapr	4f2baeb64fe3c634b4a6446a8eed27990dbd502e	master	Apache-2.0	2
fluxcd/source-controller	e182c47598667eec262fc11996dcb61ebc533b50	main	Apache-2.0	1
fluxcd/kustomize-controller	c2163d92d9c4d88104c9a20841e6474245722e50	main	Apache-2.0	1
actions/runner	14de40d73a1ef1737446d8c89d4002f9d1ab5635	main	MIT	1
actions/runner-images	7429f1ce03b788d06b4e7154f5219a8ee738b894	main	MIT	1
oven-sh/bun	892b1dabc69e2a0a973244f772b84967c73ccad5	main	NOASSERTION	4
astral-sh/uv	1fd57164596dc2337201f2ae1436537295980a0b	main	Apache-2.0	2
pnpm/pnpm	9837959873b6b8e4c6ef96d15d6b9fe8adea936b	main	MIT	2
goauthentik/authentik	f6e4c5f2fb6d87bd8bde890f91b7ad98acfaeac1	main	NOASSERTION	2
